,Total Rows,Missing Count,Missing Percentage
home_batting_pitches,3034,47,1.5491100856954514
home_batting_caughtstealing,3034,47,1.5491100856954514
home_batting_flyballs,3034,47,1.5491100856954514
home_batting_doubles,3034,47,1.5491100856954514
home_batting_intentionalwalks,3034,47,1.5491100856954514
home_batting_gamewinningrbis,3034,47,1.5491100856954514
home_batting_triples,3034,47,1.5491100856954514
home_batting_runnersleftonbase,3034,47,1.5491100856954514
home_batting_grandslamhomeruns,3034,47,1.5491100856954514
home_batting_homeruns,3034,47,1.5491100856954514
home_batting_atbats,3034,47,1.5491100856954514
home_batting_sacflies,3034,47,1.5491100856954514
home_batting_gidps,3034,47,1.5491100856954514
home_batting_runs,3034,47,1.5491100856954514
home_batting_catcherinterference,3034,47,1.5491100856954514
home_batting_ops,3034,47,1.5491100856954514
home_batting_onbasepct,3034,47,1.5491100856954514
home_batting_secondaryavg,3034,47,1.5491100856954514
home_batting_slugavg,3034,47,1.5491100856954514
home_batting_pinchavg,3034,47,1.5491100856954514
home_batting_avg,3034,47,1.5491100856954514
home_batting_runscreated,3034,47,1.5491100856954514
home_batting_extrabasehits,3034,47,1.5491100856954514
home_batting_projectedhomeruns,3034,47,1.5491100856954514
home_batting_plateappearances,3034,47,1.5491100856954514
home_batting_totalbases,3034,47,1.5491100856954514
home_batting_isqualifiedsteals,3034,47,1.5491100856954514
home_batting_isqualified,3034,47,1.5491100856954514
home_batting_playerrating,3034,47,1.5491100856954514
home_batting_pinchhits,3034,47,1.5491100856954514
home_batting_pinchatbats,3034,47,1.5491100856954514
home_batting_offwarbr,3034,47,1.5491100856954514
home_batting_mlbrating,3034,47,1.5491100856954514
home_batting_bipa,3034,47,1.5491100856954514
home_batting_patienceratio,3034,47,1.5491100856954514
home_batting_runsratio,3034,47,1.5491100856954514
home_batting_runsproduced,3034,47,1.5491100856954514
home_batting_secondaryavgminusba,3034,47,1.5491100856954514
home_batting_walksperplateappearance,3034,47,1.5491100856954514
home_batting_walktostrikeoutratio,3034,47,1.5491100856954514
