Date,Home Team,Home Pitcher,Home Lineup Confirmed,Home Lineup,Away Team,Away Pitcher,Away Lineup Confirmed,Away Lineup
2021-04-04,Chicago Cubs,Zach Davies,True,"[571771, 657077, 614173, 502110, 593428, 503556, 592669, 543877, 666915, 624414, 572070, 657031, 676477, 617228, 598264, 493603]",Pittsburgh Pirates,Mitch Keller,True,"[656775, 641820, 623993, 663624, 547004, 596748, 520471, 669720, 642162, 642082, 669145, 642121, 669330]"
2021-04-04,Colorado Rockies,Austin Gomber,True,"[572008, 641658, 571710, 596115, 453568, 543068, 553869, 641857, 602074, 596295, 592346, 656541, 608032, 596112, 606132]",Los Angeles Dodgers,Julio Urías,True,"[605141, 572041, 457759, 669257, 571970, 621035, 666158, 656716, 628711, 519076, 621458, 608349]"
2021-04-04,Oakland Athletics,Sean Manaea,True,"[543939, 669374, 592885, 541645, 598265, 649966, 444489, 606115, 605288, 641856, 656876, 596129, 458676, 642233, 543768]",Houston Astros,José Urquidy,True,"[650333, 593871, 621439, 667670, 664247, 596146, 593934, 595909, 641598, 592743, 501381, 664054, 680777, 570663, 443558, 660896]"
2021-04-04,San Diego Padres,Chris Paddack,True,"[664058, 660271, 518553, 405395, 642083, 451594, 545361, 543685, 665120, 457708, 628452, 578428, 501571, 545358]",Arizona Diamondbacks,Taylor Widener,True,"[641313, 544725, 594809, 547989, 660162, 606213, 518735, 673357, 571740, 663611, 656302, 676051, 607481, 614179, 641582]"
2021-04-04,Los Angeles Angels,Shohei Ohtani,True,"[657041, 444876, 665742, 605137, 628450, 593833, 488671, 607560, 475582, 593604, 467827, 640448, 660688, 666198, 671277, 607200, 664057]",Chicago White Sox,Dylan Cease,True,"[542340, 607043, 546991, 596019, 624413, 624424, 612434, 543272, 607625, 543507, 605204, 592390, 595879, 643446, 664850, 573186, 607680]"
2021-09-04,Washington Nationals,N/A,True,"[665487, 630105, 592518, 543333, 502054, 571976, 669134, 595777, 663978, 592865, 672779, 622503, 622761, 657612, 605309, 673490]",New York Mets,N/A,True,"[668942, 606466, 572233, 444482, 452678, 656976, 641796, 608348, 672695, 642203, 592233, 622065, 465657, 656464, 642165, 606965]"
2021-04-05,Detroit Tigers,José Ureña,True,"[543257, 592444, 600869, 650489, 408234, 605612, 608577, 622682, 570731, 467092, 592348, 668731, 570632, 571656, 502706, 650530, 642397]",Minnesota Twins,Matt Shoemaker,True,"[650333, 553902, 593871, 641598, 443558, 596146, 664247, 667670, 595909, 593934, 680777, 592743, 533167, 677976]"
2021-04-05,Texas Rangers,Mike Foltynewicz,True,"[643396, 621311, 608336, 669256, 663993, 624431, 571788, 642201, 665750, 518586, 592314, 621129, 676969]",Toronto Blue Jays,Steven Matz,True,"[543760, 624415, 666182, 606192, 665489, 642133, 545341, 643376, 672386, 641505, 571927, 543022, 641835, 503569]"
2021-04-05,Cleveland Indians,Logan Allen,True,"[571771, 657077, 502110, 593428, 646240, 543877, 503556, 592669, 614173, 601713, 542882, 650382, 493603, 570488]",Kansas City Royals,Danny Duffy,True,"[660294, 640457, 668227, 664040, 622534, 621563, 650490, 642715, 595281, 670712, 572287, 641929, 608379, 607391, 605488]"
2021-04-05,New York Yankees,Jordan Montgomery,True,"[572816, 516782, 542583, 594807, 605119, 500743, 595751, 542932, 669432, 595928, 642423, 656548, 621446, 643256, 446321]",Baltimore Orioles,Jorge López,True,"[669242, 502671, 571448, 657557, 641933, 425877, 666185, 621573, 642211, 594965, 663855, 572761, 606149, 621052]"
2021-04-05,Cincinnati Reds,José De León,True,"[664023, 575929, 592178, 519203, 595879, 623520, 605177, 592626, 621219, 545350, 622110, 518792, 592866, 592094, 519299]",Pittsburgh Pirates,JT Brubaker,True,"[543939, 669374, 592885, 541645, 598265, 649966, 553882, 606115, 474463, 596129, 642233, 641856, 621002, 642207, 656420]"
2021-04-05,Miami Marlins,Trevor Rogers,True,"[518934, 592450, 643565, 543305, 519317, 650402, 642180, 596142, 457803, 570482, 640449, 656756, 570666, 547973]",St. Louis Cardinals,Daniel Ponce de Leon,True,"[656775, 641820, 663624, 596748, 600474, 642162, 520471, 602104, 663630, 605347, 542888, 643316, 669135]"
2021-04-05,Philadelphia Phillies,Matt Moore,True,"[571980, 606157, 592206, 458015, 553993, 519058, 669222, 663697, 571466, 592254, 672335, 607468, 448281, 608371, 571657, 607237]",New York Mets,Jacob deGrom,True,"[624428, 595943, 593140, 668804, 592567, 570481, 570256, 607732, 641583, 621028, 664141, 546990, 665854, 607572, 594694]"
2021-04-05,Boston Red Sox,Nick Pivetta,True,"[457705, 596451, 656555, 547180, 592663, 664761, 544369, 516416, 656514, 519043, 445213, 459964, 656322, 641401, 543543, 621237]",Tampa Bay Rays,Michael Wacha,True,"[607680, 596019, 624424, 624413, 605204, 641645, 643446, 543510, 607043, 594798, 612434, 543507, 571901, 542340]"
2021-04-05,Chicago Cubs,Trevor Williams,True,"[664058, 665120, 545361, 543685, 457708, 405395, 578428, 435559, 660271, 545358, 451594, 500779, 669735, 592222, 518553, 453265, 594577]",Milwaukee Brewers,Brett Anderson,True,"[514888, 493329, 608324, 670541, 621043, 663656, 649557, 676801, 664702, 596825, 455117, 677651, 592773, 548384, 650556, 501925, 642130]"
2021-04-05,Los Angeles Angels,Jose Quintana,True,"[656669, 592325, 514917, 608070, 592696, 614177, 642708, 647304, 547379, 644374, 641343, 663531, 663474, 675916]",Houston Astros,Luis Garcia,True,"[593160, 643217, 467793, 521692, 624585, 502481, 572191, 593643, 643436, 664728, 670032, 518633, 605130, 534910]"
2021-04-05,Oakland Athletics,Frankie Montas,True,"[571745, 664034, 572122, 657108, 664238, 608596, 641584, 664059, 641487, 656954, 608716, 676684]",Los Angeles Dodgers,Dustin May,True,"[663611, 673357, 547989, 660162, 606213, 518735, 544725, 683734, 571740, 607074, 656629, 614179]"
2021-04-05,San Diego Padres,Adrian Morejon,True,"[630105, 665487, 673490, 592518, 543333, 502054, 571976, 595777, 605170, 670970, 672779, 622503, 489334, 641941, 657612, 622761, 519141]",San Francisco Giants,Anthony DeSclafani,True,"[596103, 456781, 527038, 474832, 446334, 573131, 543105, 457763, 643289, 543063, 543101, 605538, 670056, 573262, 606625, 643511, 600303, 459429]"
2021-04-05,Seattle Mariners,Justus Sheffield,True,"[645302, 607208, 665742, 516770, 664057, 541650, 671277, 475582, 668663, 544931, 628450, 663432]",Chicago White Sox,Carlos Rodón,True,"[660670, 645277, 518692, 542303, 656794, 663586, 621020, 656577, 467055, 542255, 665506, 660623, 592426, 518595]"
2021-04-07,Washington Nationals,N/A,True,"[592192, 476704, 621566, 519048, 572039, 656305, 669221, 664789, 462101, 643393, 593423, 640462, 592473, 489265, 594056, 605525]",Atlanta Braves,Drew Smyly,True,"[605141, 608369, 457759, 641355, 666158, 669257, 571970, 607461, 621035, 572041, 621458, 656716, 669160, 456034, 518397]"
2021-04-06,Detroit Tigers,Casey Mize,True,"[459964, 592826, 445213, 656555, 664761, 571735, 457705, 547180, 592663, 544369, 516416, 543543, 596451, 502624, 656514]",Minnesota Twins,J.A. Happ,True,"[607043, 596019, 624424, 624413, 642086, 543507, 542340, 544727, 605204, 641645, 643446, 543510, 573186, 607680, 612434, 546991]"
2021-04-06,Washington Nationals,Max Scherzer,True,"[518934, 592450, 458731, 519317, 650402, 640449, 457803, 642180, 570482, 543309, 543037, 643338, 476595]",Atlanta Braves,Drew Smyly,True,"[656775, 641820, 623993, 663624, 547004, 596748, 520471, 600474, 642082, 665152, 592644, 669330, 453281]"
2021-04-06,Los Angeles Angels,Dylan Bundy,True,"[645302, 607208, 665742, 475582, 671277, 516770, 541650, 664057, 518960, 453286, 640448, 593833, 666198, 641851, 628450, 543339]",Houston Astros,Zack Greinke,True,"[660670, 645277, 518692, 542303, 518595, 621020, 663586, 665506, 592767, 467055, 554431, 458708, 621345, 622666, 542255, 519293]"
2021-04-06,New York Yankees,Gerrit Cole,True,"[664023, 575929, 519203, 592178, 592626, 595879, 518792, 623520, 640470, 547172, 595465, 596027, 622110, 572193]",Baltimore Orioles,Dean Kremer,True,"[543939, 596129, 608718, 502202, 592885, 543768, 598265, 541645, 553882, 649966, 642547, 621002]"
2021-04-06,Cincinnati Reds,Wade Miley,True,"[592348, 650489, 408234, 605612, 600869, 467092, 543257, 570731, 668731, 606988, 608577, 642397, 592444, 663554, 650530, 605242, 542585]",Pittsburgh Pirates,Trevor Cahill,True,"[650333, 593871, 443558, 664247, 596146, 667670, 621439, 595909, 592743, 593934, 553902, 680777, 641598, 457918, 664054, 573204, 608648, 573124, 570663]"
2021-04-06,Miami Marlins,Sandy Alcantara,True,"[664058, 660271, 545361, 405395, 665120, 457708, 670351, 545358, 578428, 605164, 642083, 594577, 628452]",St. Louis Cardinals,John Gant,True,"[514888, 493329, 608324, 670541, 676801, 621043, 663656, 649557, 664702, 455117, 425844, 519151]"
2021-04-06,Philadelphia Phillies,Chase Anderson,True,"[572816, 542947, 516782, 643265, 594807, 605119, 665862, 595751, 500743, 645261, 542932, 571670, 554340, 542583, 642423]",New York Mets,Marcus Stroman,True,"[669242, 502671, 571448, 657557, 572761, 621052, 425877, 641933, 666185, 607231, 642211, 664854, 650893, 596056, 606149, 643778, 621573]"
2021-04-06,Boston Red Sox,Martín Pérez,True,"[571980, 592206, 606157, 458015, 607468, 553993, 519058, 571657, 669222, 663697, 571466, 489119, 607219, 608334]",Tampa Bay Rays,Tyler Glasnow,True,"[624428, 621028, 668804, 592567, 595943, 607732, 570481, 546990, 621249, 593144, 641583, 502239, 605280, 594694]"
2021-04-06,Chicago Cubs,Adbert Alzolay,True,"[643396, 621311, 608336, 663993, 669256, 608597, 571788, 518586, 641680, 665750, 641540, 621368, 456713, 453178]",Milwaukee Brewers,Freddy Peralta,True,"[543760, 624415, 666182, 606192, 665489, 666971, 642133, 545341, 672386, 543699, 543548, 621366, 475479]"
2021-04-06,Texas Rangers,Dane Dunning,True,"[624414, 657077, 502110, 593428, 646240, 543877, 503556, 592669, 614173, 571771, 527048, 592169, 617228, 650382, 598264, 656557, 570488]",Toronto Blue Jays,Tanner Roark,True,"[650490, 668227, 670712, 640457, 622534, 664040, 642715, 642336, 656821, 621563, 572287, 607192, 642003, 664126, 650895, 552640, 605488, 657044]"
2021-04-06,Colorado Rockies,Germán Márquez,True,"[630105, 502054, 592518, 543333, 571976, 595777, 673490, 605170, 506433, 605309, 672779, 641941, 453343]",Arizona Diamondbacks,Luke Weaver,True,"[573262, 543105, 527038, 474832, 446334, 457763, 543063, 596103, 592717, 606625, 605538, 593974, 600303, 606424]"
2021-04-06,Oakland Athletics,Chris Bassitt,True,"[592192, 476704, 657656, 656305, 669221, 572039, 519048, 462101, 643393, 605135, 642152, 433589, 607179]",Los Angeles Dodgers,Clayton Kershaw,True,"[605141, 608369, 457759, 571970, 572041, 621458, 666158, 605131, 656716, 477132, 595014, 445276]"
2021-04-06,San Diego Padres,Yu Darvish,True,"[606132, 641658, 596115, 453568, 543068, 571710, 596112, 641386, 602074, 641857, 656541, 624513, 553869, 608566, 622075, 641755, 572008, 608032, 453268, 658069]",San Francisco Giants,Aaron Sanchez,True,"[656976, 664199, 642165, 606965, 661255, 668942, 676840, 606466, 572233, 444482, 452678, 500871, 608348, 622065, 592233, 641796, 672695, 596133, 519390]"
2021-04-06,Seattle Mariners,James Paxton,True,"[571745, 664034, 572122, 657108, 666211, 592530, 608596, 620443, 641584, 664238, 641487, 572020, 676606, 594987, 641871, 664948]",Chicago White Sox,Lucas Giolito,True,"[594809, 673357, 547989, 660162, 606213, 683734, 571740, 641470, 544725, 663611, 608337, 676979, 676051, 605359]"
